temperatura,vibracao,pressao,horas_uso,material,turno,operador,falha
108.0,0.6877694144817521,108.0,8227.0,,manhã,senior,sem falha
77.0,1.6291138187949012,77.0,759.0,aço,tarde,,sem falha
115.0,4.0317405497128,114.0,2222.0,aço,tarde,pleno,sem falha
91.0,4.3209484258680355,97.0,1686.0,alumínio,,pleno,sem falha
94.0,0.7727701603062942,96.0,4782.0,alumínio,,junior,sem falha
111.0,4.76669508675375,134.0,6899.0,ferro,manhã,pleno,falha
106.0,1.711230827458186,103.0,8926.0,aço,noite,pleno,sem falha
55.0,3.345337319780528,131.0,7087.0,alumínio,noite,senior,sem falha
77.0,3.783943215187738,131.0,8075.0,ferro,noite,senior,sem falha
77.0,4.078536549725629,107.0,2982.0,aço,noite,pleno,sem falha
93.0,4.734173540907058,95.0,5349.0,aço,manhã,pleno,falha
79.0,1.633305785341231,93.0,2911.0,aço,noite,pleno,sem falha
111.0,4.306681627302617,108.0,5627.0,alumínio,noite,junior,falha
111.0,0.7452658268374145,90.0,1984.0,aço,manhã,senior,sem falha
50.0,3.5547004411326046,116.0,9810.0,,noite,pleno,sem falha
76.0,3.7356908746185313,117.0,8913.0,ferro,manhã,pleno,
111.0,3.4208438818864706,82.0,5173.0,alumínio,manhã,junior,falha
52.0,1.3363422070622497,72.0,9829.0,ferro,noite,senior,sem falha
119.0,4.377911420374496,101.0,5516.0,alumínio,noite,junior,falha
76.0,0.9274064705149355,104.0,5900.0,aço,tarde,junior,sem falha
58.0,0.36281047845207115,88.0,6995.0,ferro,tarde,pleno,sem falha
111.0,3.6155784539983697,83.0,6415.0,alumínio,manhã,junior,falha
86.0,2.4298310046403953,117.0,5030.0,alumínio,manhã,junior,sem falha
100.0,4.260580297797513,137.0,2465.0,aço,tarde,pleno,sem falha
93.0,1.978645991185469,114.0,954.0,aço,manhã,senior,sem falha
73.0,0.9245650836877929,88.0,2828.0,ferro,tarde,pleno,
108.0,4.198566743102361,133.0,1015.0,ferro,noite,senior,sem falha
81.0,2.7896571950363516,135.0,7273.0,alumínio,noite,junior,sem falha
101.0,1.027059382712739,148.0,5038.0,ferro,noite,junior,sem falha
111.0,3.6298815930735846,135.0,231.0,aço,manhã,pleno,sem falha
107.0,2.6044568285985528,144.0,9408.0,ferro,noite,pleno,falha
101.0,3.0611336129775673,114.0,,ferro,manhã,pleno,
61.0,2.3584018572122516,143.0,9152.0,alumínio,,junior,sem falha
88.0,4.160674020708231,136.0,393.0,aço,manhã,junior,sem falha
51.0,4.164857306846944,138.0,9291.0,alumínio,manhã,senior,sem falha
52.0,3.576005226939493,72.0,3785.0,aço,tarde,,sem falha
105.0,0.6164667492426651,107.0,8116.0,aço,tarde,junior,sem falha
108.0,4.210383923329937,146.0,7862.0,alumínio,tarde,senior,falha
,3.3879636046112585,111.0,6946.0,ferro,manhã,pleno,
51.0,3.515418413421068,109.0,7684.0,alumínio,tarde,pleno,sem falha
103.0,1.8786159179789712,119.0,7410.0,ferro,tarde,senior,sem falha
50.0,4.408469825169333,104.0,5456.0,alumínio,tarde,senior,sem falha
68.0,,93.0,386.0,alumínio,manhã,senior,sem falha
51.0,0.6516932859930529,86.0,,ferro,manhã,junior,sem falha
,2.098112368590197,109.0,6686.0,ferro,tarde,pleno,falha
93.0,4.443263773604694,143.0,5403.0,ferro,tarde,pleno,falha
81.0,0.3312638383171571,135.0,3216.0,alumínio,manhã,senior,sem falha
119.0,4.8109414362460425,113.0,5974.0,ferro,manhã,,falha
,,92.0,7070.0,ferro,tarde,senior,sem falha
117.0,3.193742290452546,75.0,8248.0,ferro,tarde,junior,falha
104.0,1.425740356791158,,8544.0,aço,tarde,pleno,sem falha
,1.3190797648219679,90.0,9711.0,ferro,manhã,pleno,sem falha
66.0,4.716085275494118,104.0,1335.0,ferro,tarde,junior,sem falha
87.0,1.5615350257472016,98.0,1099.0,ferro,manhã,pleno,sem falha
73.0,3.8999759539230974,76.0,3860.0,aço,noite,pleno,sem falha
118.0,2.026296811214688,122.0,4216.0,aço,tarde,senior,sem falha
119.0,0.7823449468450495,106.0,4511.0,ferro,noite,junior,sem falha
60.0,0.15250495870725886,92.0,5657.0,ferro,manhã,pleno,sem falha
65.0,2.766860951374729,77.0,9738.0,ferro,noite,pleno,sem falha
108.0,4.88131621088977,145.0,5452.0,ferro,tarde,junior,falha
119.0,1.908767349665102,117.0,3783.0,aço,noite,pleno,sem falha
52.0,1.85024243656592,79.0,2361.0,ferro,noite,junior,sem falha
69.0,1.7860489274622664,148.0,1953.0,aço,noite,junior,sem falha
108.0,2.6506648027938065,93.0,8891.0,alumínio,manhã,,falha
85.0,2.259257928779039,116.0,6995.0,,tarde,junior,sem falha
68.0,4.411581670962371,122.0,3090.0,alumínio,manhã,senior,
116.0,2.5770518794451025,108.0,962.0,,noite,pleno,sem falha
68.0,2.5880134071239875,136.0,4627.0,aço,noite,junior,sem falha
69.0,0.7780208141307273,135.0,1319.0,aço,manhã,senior,sem falha
101.0,4.915423750460891,75.0,3895.0,ferro,manhã,,sem falha
82.0,1.3248671652572657,90.0,627.0,aço,noite,pleno,sem falha
89.0,0.45948393055205305,142.0,7469.0,ferro,tarde,senior,sem falha
88.0,3.3494166199785234,143.0,3022.0,aço,manhã,senior,sem falha
50.0,3.0172952137686764,105.0,5949.0,aço,noite,senior,sem falha
60.0,2.1342137045644543,72.0,1262.0,alumínio,noite,pleno,sem falha
106.0,2.1687419460153228,147.0,946.0,aço,tarde,senior,sem falha
99.0,3.946813213127513,111.0,7059.0,ferro,noite,pleno,
72.0,1.0589919364882805,114.0,3186.0,alumínio,manhã,pleno,sem falha
80.0,4.119241262829959,113.0,3383.0,alumínio,noite,junior,sem falha
91.0,3.278860858085589,,3423.0,,noite,pleno,sem falha
56.0,2.1529518915196695,129.0,545.0,aço,noite,senior,sem falha
65.0,2.3443402212609565,139.0,1125.0,alumínio,noite,senior,sem falha
109.0,1.3575713152118696,146.0,1459.0,ferro,tarde,pleno,sem falha
51.0,3.785360230215177,95.0,8310.0,aço,manhã,pleno,sem falha
50.0,2.6130862372958124,90.0,6213.0,alumínio,noite,junior,sem falha
97.0,1.6721872594742337,71.0,8852.0,ferro,manhã,junior,sem falha
61.0,3.0206455672286565,,571.0,aço,tarde,senior,sem falha
,,99.0,,alumínio,manhã,pleno,sem falha
86.0,2.232785170317114,96.0,8851.0,alumínio,tarde,senior,sem falha
81.0,4.611387863815236,140.0,3336.0,aço,manhã,pleno,sem falha
58.0,1.790582515630374,89.0,9236.0,ferro,manhã,,sem falha
68.0,0.3681902639324308,119.0,4048.0,ferro,noite,senior,sem falha
97.0,1.1007863212053017,92.0,6272.0,alumínio,manhã,senior,sem falha
52.0,2.151606202305653,82.0,2079.0,ferro,noite,pleno,sem falha
69.0,1.1762111501133883,73.0,5021.0,alumínio,noite,junior,sem falha
73.0,0.10111248726945214,83.0,9107.0,aço,manhã,junior,sem falha
103.0,4.583507534962884,89.0,2426.0,ferro,noite,pleno,sem falha
82.0,4.235009115031552,82.0,2430.0,aço,manhã,junior,sem falha
73.0,3.7372319342860414,72.0,7746.0,alumínio,noite,senior,sem falha
85.0,0.9222915186655404,147.0,1102.0,aço,noite,pleno,sem falha
87.0,0.6897815234289317,116.0,9834.0,ferro,tarde,pleno,sem falha
74.0,0.43126327241467743,72.0,6548.0,aço,,junior,
67.0,3.647743024987314,70.0,6937.0,ferro,manhã,junior,sem falha
115.0,4.651159007370638,93.0,6567.0,ferro,noite,senior,falha
103.0,2.2096255224738814,104.0,9521.0,ferro,tarde,pleno,
84.0,0.683789292780636,83.0,7454.0,ferro,tarde,junior,sem falha
110.0,2.6107248215873224,136.0,2629.0,ferro,tarde,pleno,sem falha
90.0,1.8092763465472879,82.0,1530.0,alumínio,noite,senior,sem falha
82.0,1.936642129314989,116.0,4012.0,aço,manhã,,sem falha
117.0,3.144520058362966,119.0,1632.0,alumínio,noite,,sem falha
82.0,3.621718754984792,147.0,1992.0,aço,,pleno,sem falha
63.0,0.6419576344784882,95.0,,aço,tarde,pleno,sem falha
70.0,,,8682.0,aço,noite,,sem falha
97.0,4.9722184831600025,120.0,5868.0,alumínio,,pleno,falha
69.0,1.240368909686204,109.0,2918.0,ferro,tarde,pleno,sem falha
57.0,0.36376957205144955,137.0,5717.0,ferro,tarde,senior,sem falha
56.0,1.030389112570008,105.0,1295.0,alumínio,noite,senior,sem falha
116.0,0.29089344710747467,,6329.0,ferro,tarde,senior,sem falha
66.0,2.0198733836241414,70.0,9149.0,aço,manhã,junior,sem falha
82.0,4.031768743811489,102.0,5405.0,ferro,manhã,senior,sem falha
97.0,1.7720978038128312,,9808.0,,manhã,pleno,sem falha
108.0,2.276498693703996,,8177.0,ferro,manhã,senior,falha
71.0,3.4103751904804502,80.0,9445.0,aço,manhã,junior,sem falha
79.0,2.5935809433424133,96.0,942.0,ferro,tarde,,sem falha
87.0,4.321083861504489,83.0,5300.0,ferro,tarde,junior,sem falha
100.0,4.343574807724207,149.0,6021.0,ferro,manhã,junior,falha
103.0,0.14856240790665287,115.0,9974.0,alumínio,manhã,junior,sem falha
57.0,3.9124269017676765,145.0,394.0,alumínio,manhã,pleno,sem falha
76.0,2.3575946411842024,79.0,6197.0,ferro,tarde,senior,sem falha
76.0,4.945318652387949,93.0,6512.0,alumínio,tarde,pleno,sem falha
70.0,2.4678371717896326,130.0,,alumínio,noite,pleno,sem falha
79.0,4.935790132402658,87.0,6778.0,,noite,junior,sem falha
,3.7973898699081094,78.0,5120.0,alumínio,noite,senior,sem falha
113.0,1.3181639346052012,86.0,5843.0,alumínio,noite,senior,sem falha
118.0,2.7381353985060928,127.0,210.0,ferro,tarde,senior,sem falha
110.0,4.961464633445056,82.0,8875.0,aço,tarde,junior,falha
97.0,4.3018999779844265,119.0,9778.0,aço,tarde,pleno,falha
,0.5770977795769834,75.0,4964.0,aço,tarde,senior,sem falha
53.0,3.561222784368981,120.0,1748.0,alumínio,manhã,pleno,sem falha
84.0,1.7933399707669841,105.0,6481.0,ferro,noite,senior,sem falha
113.0,0.13421308321370579,140.0,2481.0,aço,tarde,senior,sem falha
98.0,2.077056748232298,94.0,205.0,aço,tarde,senior,sem falha
,1.2502966664523596,80.0,5918.0,alumínio,noite,senior,sem falha
93.0,4.112459425550311,113.0,9986.0,aço,tarde,junior,falha
79.0,1.752919983344251,83.0,481.0,ferro,manhã,junior,sem falha
95.0,4.154866100373703,98.0,4456.0,aço,tarde,pleno,sem falha
55.0,,143.0,6018.0,,noite,junior,sem falha
86.0,1.608313835127984,119.0,1416.0,ferro,manhã,senior,sem falha
73.0,1.2817095501080338,74.0,5554.0,ferro,manhã,pleno,sem falha
95.0,1.244480069236194,141.0,4174.0,alumínio,noite,pleno,sem falha
102.0,0.4341144368507672,,,alumínio,noite,pleno,sem falha
109.0,1.0169089250114585,126.0,1006.0,ferro,manhã,senior,sem falha
112.0,,95.0,7721.0,ferro,tarde,senior,falha
81.0,1.5276692569049481,75.0,762.0,aço,noite,pleno,sem falha
82.0,2.145234433412825,85.0,6818.0,aço,manhã,,sem falha
116.0,1.946647713701224,129.0,8754.0,aço,noite,senior,
67.0,4.391934132499483,81.0,1042.0,alumínio,tarde,senior,sem falha
74.0,4.535965095151526,144.0,8449.0,aço,tarde,junior,sem falha
103.0,2.5154891611137145,72.0,6515.0,ferro,manhã,pleno,falha
107.0,1.7177641565464619,132.0,3409.0,ferro,tarde,junior,sem falha
116.0,0.6233234496115818,133.0,1426.0,alumínio,tarde,senior,sem falha
95.0,4.771674108972266,131.0,2206.0,,tarde,pleno,sem falha
73.0,0.39511203001145756,75.0,4899.0,aço,noite,pleno,sem falha
81.0,1.5584863600845744,88.0,8939.0,alumínio,manhã,junior,sem falha
96.0,1.5605243857330204,87.0,3038.0,ferro,manhã,senior,sem falha
72.0,,149.0,2583.0,ferro,manhã,senior,sem falha
115.0,0.9050055320348055,112.0,1475.0,alumínio,tarde,pleno,sem falha
76.0,3.9374910115261166,142.0,,ferro,noite,senior,
51.0,0.7002395236333472,72.0,344.0,alumínio,manhã,pleno,sem falha
66.0,3.211042629850498,141.0,2448.0,ferro,noite,pleno,sem falha
82.0,0.7068455308585055,107.0,9159.0,aço,manhã,pleno,sem falha
58.0,,137.0,579.0,alumínio,tarde,senior,sem falha
92.0,4.556204568060795,145.0,2035.0,alumínio,manhã,junior,sem falha
97.0,1.031630954961658,113.0,5857.0,alumínio,manhã,pleno,sem falha
88.0,4.124125757342551,149.0,187.0,ferro,tarde,junior,sem falha
91.0,2.768691268424966,132.0,9532.0,aço,tarde,junior,falha
75.0,,111.0,8864.0,alumínio,manhã,junior,sem falha
99.0,4.781696138046531,133.0,9105.0,ferro,noite,junior,falha
74.0,1.3101097182602734,123.0,278.0,alumínio,tarde,junior,sem falha
73.0,4.312262192227772,147.0,262.0,ferro,manhã,pleno,
62.0,0.9271690283443645,146.0,2740.0,aço,tarde,senior,sem falha
109.0,4.284320122495079,140.0,9297.0,ferro,noite,junior,falha
56.0,0.16482118323594053,145.0,2448.0,ferro,manhã,senior,sem falha
106.0,2.6077242371904554,106.0,2521.0,alumínio,manhã,senior,sem falha
,3.8702686391656287,73.0,4398.0,ferro,noite,pleno,sem falha
94.0,4.680498035714638,71.0,4242.0,alumínio,noite,junior,sem falha
,4.5550904674117865,113.0,4603.0,ferro,manhã,senior,sem falha
114.0,4.11616186078346,,1317.0,aço,noite,senior,sem falha
57.0,4.45213761334039,137.0,2574.0,ferro,noite,junior,sem falha
65.0,1.076176460601675,145.0,1029.0,alumínio,manhã,pleno,sem falha
63.0,1.492503048987471,143.0,8058.0,ferro,tarde,pleno,sem falha
64.0,1.5159457721131868,131.0,8608.0,ferro,noite,junior,
115.0,,70.0,,aço,tarde,senior,sem falha
81.0,2.0272712848874246,86.0,520.0,alumínio,tarde,pleno,sem falha
112.0,2.7683210908079103,85.0,5930.0,aço,,pleno,falha
100.0,0.8834108404955628,78.0,4458.0,ferro,noite,senior,sem falha
74.0,3.487108652551348,122.0,1549.0,aço,manhã,senior,
107.0,0.9210760425920819,142.0,5911.0,ferro,manhã,senior,sem falha
112.0,1.6205115623122832,128.0,8719.0,ferro,manhã,senior,sem falha
111.0,2.566391139970155,78.0,7971.0,aço,manhã,junior,falha
71.0,4.002558751465039,81.0,8688.0,aço,manhã,senior,sem falha
107.0,,110.0,9087.0,ferro,manhã,pleno,falha
107.0,3.2631183464115594,84.0,206.0,aço,tarde,senior,sem falha
98.0,0.8632889768428338,135.0,4149.0,aço,tarde,senior,sem falha
101.0,2.780522193516331,144.0,8389.0,ferro,tarde,junior,falha
91.0,0.5284878588194387,80.0,2003.0,alumínio,noite,junior,sem falha
119.0,1.949079566303589,77.0,7749.0,aço,noite,senior,sem falha
64.0,2.1262309984208003,124.0,3670.0,aço,noite,junior,sem falha
103.0,0.2950760532841938,75.0,5476.0,alumínio,manhã,junior,sem falha
109.0,1.442541687402862,122.0,142.0,aço,tarde,junior,sem falha
57.0,4.782682389605798,89.0,6485.0,,noite,junior,sem falha
102.0,4.772799778365479,108.0,1677.0,aço,tarde,senior,sem falha
109.0,1.8264025658374428,141.0,6165.0,,manhã,junior,sem falha
54.0,0.3111905338467879,103.0,5985.0,alumínio,tarde,junior,sem falha
117.0,0.9775652027080897,126.0,8676.0,,manhã,pleno,sem falha
55.0,2.0218671878243466,88.0,,alumínio,noite,senior,sem falha
96.0,4.744120520049226,140.0,3338.0,aço,manhã,junior,sem falha
104.0,0.7918754113322062,100.0,,alumínio,manhã,pleno,sem falha
89.0,3.84122763397424,109.0,9988.0,aço,tarde,junior,sem falha
101.0,0.6325444429359912,83.0,2234.0,aço,,senior,sem falha
65.0,4.908162129217256,106.0,3992.0,aço,noite,pleno,sem falha
62.0,1.9699208456347617,113.0,4421.0,alumínio,noite,pleno,sem falha
79.0,3.898649240605375,78.0,5876.0,alumínio,manhã,senior,sem falha
68.0,1.7786963057745462,127.0,5928.0,aço,tarde,pleno,sem falha
66.0,3.175577498078163,89.0,3915.0,alumínio,noite,pleno,sem falha
112.0,1.04087881522618,119.0,395.0,aço,noite,junior,sem falha
68.0,0.8155029945551164,89.0,513.0,alumínio,manhã,pleno,sem falha
107.0,4.696514283883843,105.0,6056.0,ferro,manhã,senior,falha
104.0,4.596471661731724,96.0,6378.0,alumínio,noite,junior,falha
111.0,4.448597807043123,141.0,6768.0,,manhã,pleno,falha
72.0,3.1646239058163084,101.0,8295.0,alumínio,manhã,junior,sem falha
58.0,4.060514234959763,70.0,277.0,aço,noite,senior,sem falha
61.0,0.43828099086573713,86.0,9037.0,aço,tarde,pleno,sem falha
,1.740466305264328,78.0,4454.0,ferro,tarde,senior,sem falha
107.0,1.6371453113100658,114.0,8943.0,ferro,noite,senior,sem falha
50.0,3.214662077567805,135.0,6014.0,ferro,manhã,pleno,sem falha
,1.8441930900061387,101.0,5582.0,aço,,pleno,sem falha
97.0,0.827683230054036,114.0,3371.0,ferro,noite,junior,sem falha
50.0,3.0226886695263646,78.0,6787.0,ferro,manhã,senior,sem falha
65.0,4.090481211278499,99.0,5492.0,alumínio,tarde,pleno,sem falha
110.0,,107.0,389.0,ferro,tarde,senior,sem falha
113.0,0.7481167039825604,129.0,9094.0,alumínio,manhã,pleno,sem falha
112.0,1.063772166832833,70.0,8525.0,,noite,senior,sem falha
118.0,1.2636681953299818,74.0,507.0,aço,manhã,junior,sem falha
,1.5694982056732276,132.0,793.0,alumínio,noite,senior,sem falha
116.0,3.249695845480915,105.0,1269.0,ferro,manhã,pleno,sem falha
75.0,3.0446328742348236,134.0,,aço,manhã,junior,sem falha
,3.510791321678492,147.0,7882.0,alumínio,tarde,junior,sem falha
100.0,1.8762597242044148,,9274.0,aço,tarde,pleno,sem falha
106.0,4.137588494211894,93.0,3144.0,aço,manhã,junior,sem falha
78.0,1.1000295396632256,73.0,5630.0,ferro,manhã,senior,sem falha
118.0,2.3982996628389546,,5092.0,aço,tarde,senior,
96.0,4.024599735553009,137.0,4024.0,alumínio,noite,pleno,sem falha
111.0,0.9827773738898343,94.0,7070.0,ferro,tarde,,sem falha
118.0,0.6383292573298365,143.0,3412.0,alumínio,noite,pleno,sem falha
65.0,4.43005144167115,76.0,4418.0,alumínio,tarde,junior,sem falha
97.0,1.7803553475200602,82.0,1788.0,alumínio,tarde,senior,sem falha
88.0,3.450963612054257,137.0,567.0,ferro,noite,pleno,sem falha
,0.22420816089329856,112.0,9637.0,aço,manhã,senior,sem falha
72.0,3.4812297532063035,126.0,2522.0,alumínio,tarde,junior,sem falha
59.0,1.6488964265801558,,7379.0,aço,tarde,junior,sem falha
,0.37313018257846453,83.0,4607.0,aço,tarde,senior,sem falha
83.0,3.0880825315857736,141.0,4821.0,alumínio,manhã,junior,sem falha
101.0,1.279938698758549,,5471.0,aço,tarde,pleno,sem falha
59.0,1.9953554860542122,106.0,9303.0,ferro,manhã,senior,sem falha
68.0,0.4948459802039167,140.0,7641.0,ferro,,senior,sem falha
107.0,0.8210999303652321,145.0,,aço,,junior,sem falha
50.0,1.5600884539296347,94.0,1586.0,aço,tarde,pleno,sem falha
118.0,0.53982155274477,136.0,9708.0,ferro,,senior,sem falha
53.0,4.5630486969629445,73.0,9649.0,aço,manhã,senior,sem falha
65.0,,148.0,,aço,manhã,junior,
73.0,2.470915072435126,143.0,9870.0,aço,manhã,junior,sem falha
