,buying,maint,doors,persons,lug_boot,safety,category
83,4.0,4.0,5more,2,1.0,1.0,unacc
84,4.0,4.0,5more,2,1.0,2.0,unacc
85,4.0,4.0,5more,2,1.0,3.0,unacc
86,4.0,4.0,5more,2,2.0,1.0,unacc
87,4.0,4.0,5more,2,2.0,2.0,unacc
88,4.0,4.0,5more,2,2.0,3.0,unacc
89,4.0,4.0,5more,4,0.0,1.0,unacc
90,4.0,4.0,5more,4,0.0,2.0,unacc
91,4.0,4.0,5more,4,0.0,3.0,unacc
92,4.0,4.0,5more,4,1.0,1.0,unacc
93,4.0,4.0,5more,4,1.0,2.0,unacc
94,4.0,4.0,5more,4,1.0,3.0,unacc
95,4.0,4.0,5more,4,2.0,1.0,unacc
96,4.0,4.0,5more,4,2.0,2.0,unacc
97,4.0,4.0,5more,4,2.0,3.0,unacc
98,4.0,4.0,5more,more,0.0,1.0,unacc
99,4.0,4.0,5more,more,0.0,2.0,unacc
100,4.0,4.0,5more,more,0.0,3.0,unacc
101,4.0,4.0,5more,more,1.0,1.0,unacc
102,4.0,4.0,5more,more,1.0,2.0,unacc
103,4.0,4.0,5more,more,1.0,3.0,unacc
104,4.0,4.0,5more,more,2.0,1.0,unacc
105,4.0,4.0,5more,more,2.0,2.0,unacc
106,4.0,4.0,5more,more,2.0,3.0,unacc
107,4.0,3.0,2,2,0.0,1.0,unacc
108,4.0,3.0,2,2,0.0,2.0,unacc
109,4.0,3.0,2,2,0.0,3.0,unacc
110,4.0,3.0,2,2,1.0,1.0,unacc
111,4.0,3.0,2,2,1.0,2.0,unacc
112,4.0,3.0,2,2,1.0,3.0,unacc
113,4.0,3.0,2,2,2.0,1.0,unacc
114,4.0,3.0,2,2,2.0,2.0,unacc
115,4.0,3.0,2,2,2.0,3.0,unacc
116,4.0,3.0,2,4,0.0,1.0,unacc
117,4.0,3.0,2,4,0.0,2.0,unacc
118,4.0,3.0,2,4,0.0,3.0,unacc
119,4.0,3.0,2,4,1.0,1.0,unacc
120,4.0,3.0,2,4,1.0,2.0,unacc
121,4.0,3.0,2,4,1.0,,unacc
122,4.0,3.0,2,4,2.0,1.0,unacc
123,4.0,3.0,2,4,2.0,2.0,unacc
124,4.0,3.0,2,4,2.0,3.0,unacc
125,4.0,3.0,2,more,0.0,1.0,unacc
126,4.0,3.0,2,more,0.0,2.0,unacc
127,4.0,3.0,2,more,0.0,3.0,unacc
128,4.0,3.0,2,more,1.0,1.0,unacc
129,4.0,3.0,2,more,1.0,2.0,unacc
130,4.0,3.0,2,more,1.0,3.0,unacc
131,4.0,3.0,2,more,2.0,1.0,unacc
132,4.0,3.0,2,more,2.0,2.0,unacc
133,4.0,3.0,2,more,2.0,3.0,unacc
134,4.0,3.0,3,2,0.0,1.0,unacc
135,4.0,3.0,3,2,0.0,2.0,unacc
136,4.0,3.0,3,2,0.0,3.0,unacc
137,4.0,3.0,3,2,1.0,1.0,unacc
138,4.0,3.0,3,2,1.0,2.0,unacc
139,4.0,3.0,3,2,1.0,3.0,unacc
140,4.0,3.0,3,2,2.0,1.0,unacc
141,4.0,3.0,3,2,2.0,2.0,unacc
142,4.0,3.0,3,2,2.0,3.0,unacc
143,4.0,3.0,3,4,0.0,1.0,unacc
144,4.0,3.0,3,4,0.0,2.0,unacc
145,4.0,3.0,3,4,0.0,3.0,unacc
146,4.0,3.0,3,4,1.0,1.0,unacc
147,4.0,3.0,3,4,1.0,2.0,unacc
148,4.0,3.0,3,4,1.0,3.0,unacc
149,4.0,3.0,3,4,2.0,1.0,unacc
150,4.0,3.0,3,4,2.0,2.0,unacc
151,4.0,3.0,3,4,2.0,3.0,unacc
152,4.0,3.0,3,more,0.0,1.0,unacc
153,4.0,3.0,3,more,0.0,2.0,unacc
154,4.0,3.0,3,more,0.0,3.0,unacc
155,4.0,3.0,3,more,1.0,1.0,unacc
156,4.0,3.0,3,more,1.0,2.0,unacc
157,4.0,3.0,3,more,1.0,3.0,unacc
158,4.0,3.0,3,more,2.0,1.0,unacc
159,4.0,3.0,3,more,2.0,2.0,unacc
160,4.0,3.0,3,more,2.0,3.0,unacc
161,4.0,3.0,4,2,0.0,1.0,unacc
162,4.0,3.0,4,2,0.0,2.0,unacc
163,4.0,3.0,4,2,0.0,3.0,unacc
164,4.0,3.0,4,2,1.0,1.0,unacc
165,4.0,3.0,4,2,1.0,2.0,unacc
166,4.0,3.0,4,2,1.0,3.0,unacc
167,4.0,3.0,4,2,2.0,1.0,unacc
168,4.0,3.0,4,2,2.0,2.0,unacc
169,4.0,3.0,4,2,2.0,3.0,unacc
170,4.0,3.0,4,4,0.0,1.0,unacc
171,4.0,3.0,4,4,0.0,2.0,unacc
172,4.0,3.0,4,4,0.0,3.0,unacc
173,4.0,3.0,4,4,1.0,1.0,unacc
174,4.0,3.0,4,4,1.0,2.0,unacc
175,4.0,3.0,4,4,1.0,3.0,unacc
176,4.0,3.0,4,4,2.0,1.0,unacc
177,4.0,3.0,4,4,2.0,2.0,unacc
178,4.0,3.0,4,4,2.0,3.0,unacc
179,4.0,3.0,4,more,0.0,1.0,unacc
180,4.0,3.0,4,more,0.0,2.0,unacc
181,4.0,3.0,4,more,0.0,3.0,unacc
182,4.0,3.0,4,more,1.0,1.0,unacc
183,4.0,3.0,4,more,1.0,2.0,unacc
184,4.0,3.0,4,more,1.0,3.0,unacc
185,4.0,3.0,4,more,2.0,1.0,unacc
186,4.0,3.0,4,more,2.0,2.0,unacc
187,4.0,3.0,4,more,2.0,3.0,unacc
188,4.0,3.0,5more,2,0.0,1.0,unacc
189,4.0,3.0,5more,2,0.0,2.0,unacc
190,4.0,3.0,5more,2,0.0,3.0,unacc
191,4.0,3.0,5more,2,1.0,1.0,unacc
192,4.0,3.0,5more,2,1.0,2.0,unacc
193,4.0,3.0,5more,2,1.0,3.0,unacc
194,4.0,3.0,5more,2,2.0,1.0,unacc
195,4.0,3.0,5more,2,2.0,2.0,unacc
196,4.0,3.0,5more,2,2.0,3.0,unacc
197,4.0,3.0,5more,4,0.0,1.0,unacc
198,4.0,3.0,5more,4,0.0,2.0,unacc
199,4.0,3.0,5more,4,0.0,3.0,unacc
200,4.0,3.0,5more,4,1.0,1.0,unacc
201,4.0,3.0,5more,4,1.0,2.0,unacc
202,4.0,3.0,5more,4,1.0,3.0,unacc
203,4.0,3.0,5more,4,2.0,1.0,unacc
204,4.0,3.0,5more,4,2.0,2.0,unacc
205,4.0,3.0,5more,4,2.0,3.0,unacc
206,4.0,3.0,5more,more,0.0,1.0,unacc
207,4.0,3.0,5more,more,0.0,2.0,unacc
208,4.0,3.0,5more,more,0.0,3.0,unacc
209,4.0,3.0,5more,more,1.0,1.0,unacc
210,4.0,3.0,5more,more,1.0,2.0,unacc
211,4.0,3.0,5more,more,1.0,3.0,unacc
212,4.0,3.0,5more,more,2.0,1.0,unacc
213,4.0,3.0,5more,more,2.0,2.0,unacc
214,4.0,3.0,5more,more,2.0,3.0,unacc
215,4.0,2.0,2,2,0.0,1.0,unacc
216,4.0,2.0,2,2,0.0,2.0,unacc
217,4.0,2.0,2,2,0.0,3.0,unacc
218,4.0,2.0,2,2,1.0,1.0,unacc
219,4.0,2.0,2,2,1.0,2.0,unacc
220,4.0,2.0,2,2,1.0,3.0,unacc
221,4.0,2.0,2,2,2.0,1.0,unacc
222,4.0,2.0,2,2,2.0,2.0,unacc
223,4.0,2.0,2,2,2.0,3.0,unacc
224,4.0,2.0,2,4,0.0,1.0,unacc
225,4.0,2.0,2,4,0.0,2.0,unacc
226,4.0,2.0,2,4,0.0,3.0,acc
227,4.0,2.0,2,4,1.0,1.0,unacc
228,4.0,2.0,2,4,1.0,2.0,unacc
229,4.0,2.0,2,4,1.0,3.0,acc
230,4.0,2.0,2,4,2.0,1.0,unacc
231,4.0,2.0,2,4,2.0,2.0,acc
232,4.0,2.0,2,4,2.0,3.0,acc
233,4.0,2.0,2,more,0.0,1.0,unacc
234,4.0,2.0,2,more,0.0,2.0,unacc
235,4.0,2.0,2,more,0.0,3.0,unacc
236,4.0,2.0,2,more,1.0,1.0,unacc
237,4.0,2.0,2,more,1.0,2.0,unacc
238,4.0,2.0,2,more,1.0,3.0,acc
239,4.0,2.0,2,more,2.0,1.0,unacc
240,4.0,2.0,2,more,2.0,2.0,acc
241,4.0,2.0,2,more,2.0,3.0,acc
242,4.0,2.0,3,2,0.0,1.0,unacc
243,4.0,2.0,3,2,0.0,2.0,unacc
244,4.0,2.0,3,2,0.0,3.0,unacc
245,4.0,2.0,3,2,1.0,1.0,unacc
246,4.0,2.0,3,2,1.0,2.0,unacc
247,4.0,2.0,3,2,1.0,3.0,unacc
248,4.0,2.0,3,2,2.0,1.0,unacc
249,4.0,2.0,3,2,2.0,2.0,unacc
250,4.0,2.0,3,2,2.0,3.0,unacc
251,4.0,2.0,3,4,0.0,1.0,unacc
252,4.0,2.0,3,4,0.0,2.0,unacc
253,4.0,2.0,3,4,0.0,3.0,acc
254,4.0,2.0,3,4,1.0,1.0,unacc
255,4.0,2.0,3,4,1.0,2.0,unacc
256,4.0,2.0,3,4,1.0,3.0,acc
257,4.0,2.0,3,4,2.0,1.0,unacc
258,4.0,2.0,3,4,2.0,2.0,acc
259,4.0,2.0,3,4,2.0,3.0,acc
260,4.0,2.0,3,more,0.0,1.0,unacc
261,4.0,2.0,3,more,0.0,2.0,unacc
262,4.0,2.0,3,more,0.0,3.0,acc
263,4.0,2.0,3,more,1.0,1.0,unacc
264,4.0,2.0,3,more,1.0,2.0,acc
265,4.0,2.0,3,more,1.0,3.0,acc
266,4.0,2.0,3,more,2.0,1.0,unacc
267,4.0,2.0,3,more,2.0,2.0,acc
268,4.0,2.0,3,more,2.0,3.0,acc
269,4.0,2.0,4,2,0.0,1.0,unacc
270,4.0,2.0,4,,0.0,2.0,unacc
271,4.0,2.0,4,2,0.0,3.0,unacc
272,4.0,2.0,4,2,1.0,1.0,unacc
273,4.0,2.0,4,2,1.0,2.0,unacc
274,4.0,2.0,4,2,1.0,3.0,unacc
275,4.0,2.0,4,2,2.0,1.0,unacc
276,4.0,2.0,4,2,2.0,2.0,unacc
277,4.0,2.0,4,2,2.0,3.0,unacc
278,4.0,2.0,4,4,0.0,1.0,unacc
279,4.0,2.0,4,4,0.0,2.0,unacc
280,4.0,2.0,4,4,0.0,3.0,acc
281,4.0,2.0,4,4,1.0,1.0,unacc
282,4.0,2.0,4,4,1.0,2.0,acc
283,4.0,2.0,4,4,1.0,3.0,acc
284,4.0,2.0,4,4,2.0,1.0,unacc
285,4.0,2.0,4,4,2.0,2.0,
286,4.0,2.0,4,4,2.0,3.0,acc
287,4.0,2.0,4,more,0.0,1.0,unacc
288,4.0,2.0,4,more,0.0,2.0,unacc
289,4.0,2.0,4,more,0.0,3.0,acc
290,4.0,2.0,4,more,1.0,1.0,unacc
291,4.0,2.0,4,more,1.0,2.0,acc
292,4.0,2.0,4,more,1.0,3.0,acc
293,4.0,2.0,4,more,2.0,1.0,unacc
294,4.0,2.0,4,more,2.0,2.0,acc
295,4.0,2.0,4,more,2.0,3.0,acc
296,4.0,2.0,5more,2,0.0,1.0,unacc
297,4.0,2.0,5more,2,0.0,2.0,unacc
298,4.0,2.0,5more,2,0.0,3.0,unacc
299,4.0,2.0,5more,2,1.0,1.0,unacc
300,4.0,2.0,5more,2,1.0,2.0,unacc
301,4.0,2.0,5more,2,1.0,3.0,unacc
302,4.0,2.0,5more,2,2.0,1.0,unacc
303,4.0,2.0,5more,2,2.0,2.0,unacc
304,4.0,2.0,5more,2,2.0,3.0,unacc
305,4.0,2.0,5more,4,0.0,1.0,unacc
306,4.0,2.0,5more,4,0.0,2.0,unacc
307,4.0,2.0,5more,4,0.0,3.0,acc
308,4.0,2.0,5more,4,1.0,1.0,unacc
309,4.0,2.0,5more,4,1.0,2.0,acc
310,4.0,2.0,5more,4,1.0,3.0,acc
311,4.0,2.0,5more,4,2.0,1.0,unacc
312,4.0,2.0,5more,4,2.0,2.0,acc
313,4.0,2.0,5more,4,2.0,3.0,acc
314,4.0,2.0,5more,more,0.0,1.0,unacc
315,4.0,2.0,5more,more,0.0,2.0,unacc
316,4.0,2.0,5more,more,0.0,3.0,acc
317,4.0,2.0,5more,more,,1.0,unacc
318,4.0,2.0,5more,more,1.0,2.0,acc
319,4.0,2.0,5more,more,1.0,3.0,acc
320,4.0,2.0,5more,more,2.0,1.0,unacc
321,4.0,2.0,5more,more,2.0,2.0,acc
322,4.0,2.0,5more,more,2.0,3.0,acc
323,4.0,1.0,2,2,0.0,1.0,unacc
324,4.0,1.0,2,2,0.0,2.0,unacc
325,4.0,1.0,2,2,0.0,3.0,unacc
326,4.0,1.0,2,2,1.0,1.0,unacc
327,4.0,1.0,2,2,1.0,2.0,unacc
328,4.0,1.0,2,2,1.0,3.0,unacc
329,4.0,1.0,2,2,2.0,1.0,unacc
330,4.0,1.0,2,2,2.0,2.0,unacc
331,4.0,1.0,2,2,2.0,3.0,unacc
332,4.0,1.0,2,4,0.0,1.0,unacc
333,4.0,1.0,2,4,0.0,2.0,unacc
334,4.0,1.0,2,4,0.0,3.0,acc
335,4.0,1.0,2,4,1.0,1.0,unacc
336,4.0,1.0,2,4,1.0,2.0,unacc
337,4.0,1.0,2,4,1.0,3.0,acc
338,4.0,1.0,2,4,2.0,1.0,unacc
339,4.0,1.0,2,4,2.0,2.0,acc
340,4.0,1.0,2,4,2.0,3.0,acc
341,4.0,1.0,2,more,0.0,1.0,unacc
342,4.0,1.0,2,more,0.0,2.0,unacc
343,4.0,1.0,2,more,0.0,3.0,unacc
344,4.0,1.0,2,more,1.0,,unacc
345,4.0,1.0,2,more,1.0,2.0,unacc
346,4.0,1.0,2,more,1.0,3.0,acc
347,4.0,1.0,2,more,2.0,1.0,unacc
348,4.0,1.0,2,,2.0,2.0,acc
349,4.0,1.0,2,more,2.0,3.0,
350,4.0,1.0,3,2,0.0,1.0,unacc
351,4.0,1.0,3,2,0.0,2.0,unacc
352,4.0,1.0,3,2,0.0,3.0,unacc
353,4.0,1.0,3,2,1.0,1.0,unacc
354,4.0,1.0,3,2,1.0,2.0,unacc
355,4.0,1.0,3,2,1.0,3.0,unacc
356,4.0,1.0,3,2,2.0,1.0,unacc
357,4.0,1.0,3,2,2.0,2.0,unacc
358,4.0,1.0,3,2,2.0,3.0,unacc
359,4.0,1.0,3,4,0.0,1.0,unacc
360,4.0,1.0,3,4,0.0,2.0,unacc
361,4.0,1.0,3,4,0.0,3.0,acc
362,4.0,1.0,3,4,1.0,1.0,unacc
363,4.0,1.0,3,4,1.0,2.0,unacc
364,4.0,1.0,3,4,1.0,3.0,acc
365,4.0,1.0,3,4,2.0,1.0,unacc
366,4.0,1.0,3,4,2.0,2.0,acc
367,4.0,1.0,3,4,2.0,3.0,acc
368,4.0,1.0,3,more,0.0,1.0,unacc
369,4.0,1.0,3,more,0.0,2.0,unacc
370,4.0,1.0,3,more,0.0,3.0,acc
371,4.0,1.0,3,more,1.0,1.0,unacc
372,4.0,1.0,3,more,1.0,2.0,acc
373,4.0,1.0,3,more,1.0,3.0,acc
374,4.0,1.0,3,more,2.0,1.0,unacc
375,4.0,1.0,3,more,2.0,2.0,acc
376,4.0,1.0,3,more,2.0,3.0,acc
377,4.0,1.0,4,2,0.0,1.0,unacc
378,4.0,1.0,4,2,0.0,2.0,unacc
379,4.0,1.0,4,2,0.0,3.0,unacc
380,4.0,1.0,4,2,1.0,1.0,unacc
381,4.0,1.0,4,2,1.0,2.0,unacc
382,4.0,1.0,4,2,1.0,,unacc
383,4.0,1.0,4,2,2.0,1.0,unacc
384,4.0,1.0,4,2,2.0,2.0,
385,4.0,1.0,4,2,2.0,3.0,unacc
386,4.0,1.0,4,4,0.0,1.0,unacc
387,4.0,1.0,4,4,0.0,2.0,unacc
388,4.0,1.0,4,4,0.0,3.0,acc
389,4.0,1.0,4,4,1.0,1.0,unacc
390,4.0,1.0,4,4,1.0,2.0,acc
391,4.0,1.0,4,4,1.0,3.0,acc
392,4.0,1.0,4,4,2.0,1.0,unacc
393,4.0,1.0,4,4,2.0,2.0,acc
394,4.0,1.0,4,4,2.0,3.0,acc
395,4.0,1.0,4,more,0.0,1.0,unacc
396,4.0,1.0,4,more,0.0,2.0,unacc
397,4.0,1.0,4,more,0.0,3.0,acc
398,4.0,1.0,4,more,1.0,1.0,unacc
399,4.0,1.0,4,more,1.0,2.0,acc
400,4.0,1.0,4,more,1.0,3.0,acc
401,4.0,1.0,4,more,2.0,1.0,unacc
402,4.0,1.0,4,more,2.0,2.0,acc
403,4.0,1.0,4,more,2.0,3.0,acc
404,4.0,1.0,5more,2,0.0,1.0,unacc
405,4.0,1.0,5more,2,0.0,2.0,unacc
406,4.0,1.0,5more,2,0.0,3.0,unacc
407,4.0,1.0,5more,2,1.0,1.0,unacc
408,4.0,1.0,5more,2,1.0,2.0,unacc
409,4.0,1.0,5more,2,1.0,3.0,unacc
410,4.0,1.0,5more,2,2.0,1.0,unacc
411,4.0,1.0,5more,2,2.0,2.0,unacc
412,4.0,1.0,5more,2,2.0,3.0,unacc
413,4.0,1.0,5more,4,0.0,1.0,unacc
414,4.0,1.0,5more,4,0.0,2.0,unacc
415,4.0,1.0,5more,4,0.0,3.0,acc
416,4.0,1.0,5more,4,1.0,1.0,unacc
417,4.0,1.0,5more,4,1.0,2.0,acc
418,,1.0,5more,4,1.0,3.0,acc
419,4.0,1.0,5more,4,2.0,1.0,unacc
420,4.0,1.0,5more,4,2.0,2.0,acc
421,4.0,1.0,5more,4,2.0,3.0,acc
422,4.0,1.0,5more,more,0.0,1.0,unacc
423,4.0,1.0,5more,more,0.0,2.0,unacc
424,4.0,1.0,5more,more,0.0,3.0,acc
425,4.0,1.0,5more,more,1.0,1.0,unacc
426,4.0,1.0,5more,more,1.0,2.0,acc
427,4.0,1.0,5more,more,1.0,3.0,acc
428,4.0,1.0,5more,more,2.0,1.0,unacc
429,4.0,1.0,5more,more,2.0,2.0,acc
430,4.0,1.0,5more,more,2.0,3.0,acc
431,3.0,4.0,2,2,0.0,1.0,unacc
432,3.0,4.0,2,2,0.0,2.0,unacc
433,3.0,4.0,2,2,0.0,3.0,unacc
434,3.0,4.0,2,2,1.0,1.0,unacc
435,3.0,4.0,2,2,1.0,2.0,unacc
436,3.0,4.0,2,2,1.0,3.0,unacc
437,3.0,4.0,2,2,2.0,1.0,unacc
438,3.0,4.0,2,2,2.0,2.0,unacc
439,3.0,4.0,2,2,2.0,3.0,unacc
440,3.0,4.0,2,4,0.0,1.0,unacc
441,3.0,4.0,2,4,0.0,2.0,unacc
442,3.0,4.0,2,4,0.0,3.0,unacc
443,3.0,4.0,2,4,1.0,1.0,unacc
444,3.0,4.0,2,4,1.0,2.0,unacc
445,3.0,4.0,2,4,1.0,3.0,unacc
446,3.0,4.0,2,4,2.0,1.0,unacc
447,3.0,4.0,2,4,2.0,2.0,unacc
448,3.0,4.0,2,4,2.0,3.0,unacc
449,3.0,4.0,2,more,0.0,1.0,unacc
450,3.0,4.0,2,more,0.0,2.0,unacc
451,3.0,4.0,2,more,0.0,3.0,unacc
452,3.0,4.0,2,more,1.0,1.0,unacc
453,3.0,4.0,2,more,1.0,2.0,unacc
454,3.0,4.0,2,more,1.0,3.0,unacc
455,3.0,4.0,2,more,2.0,1.0,unacc
456,3.0,4.0,2,more,2.0,2.0,unacc
457,3.0,4.0,2,more,2.0,3.0,unacc
458,3.0,4.0,3,2,0.0,1.0,unacc
459,3.0,4.0,3,2,0.0,2.0,unacc
460,3.0,4.0,3,2,0.0,3.0,unacc
461,3.0,4.0,3,2,1.0,1.0,unacc
462,3.0,4.0,3,2,1.0,2.0,unacc
463,3.0,4.0,3,2,1.0,3.0,unacc
464,3.0,4.0,3,2,2.0,1.0,unacc
465,3.0,4.0,3,2,2.0,2.0,unacc
466,3.0,4.0,3,2,2.0,3.0,unacc
467,3.0,4.0,3,4,0.0,1.0,unacc
468,3.0,4.0,3,4,0.0,2.0,unacc
469,3.0,4.0,3,4,0.0,3.0,unacc
470,3.0,4.0,3,4,1.0,1.0,unacc
471,3.0,4.0,3,4,1.0,2.0,unacc
472,3.0,4.0,3,4,1.0,3.0,unacc
473,3.0,4.0,3,4,2.0,1.0,unacc
474,3.0,4.0,3,4,2.0,2.0,unacc
475,3.0,4.0,3,4,2.0,3.0,unacc
476,3.0,4.0,3,more,0.0,1.0,unacc
477,3.0,4.0,3,more,0.0,2.0,unacc
478,3.0,4.0,,more,0.0,3.0,unacc
479,3.0,4.0,3,more,1.0,1.0,unacc
480,3.0,4.0,3,more,1.0,2.0,unacc
481,3.0,4.0,3,more,1.0,3.0,unacc
482,3.0,4.0,3,more,2.0,1.0,unacc
483,3.0,4.0,3,more,2.0,2.0,unacc
484,3.0,4.0,3,more,2.0,3.0,unacc
485,3.0,4.0,4,2,0.0,1.0,unacc
486,3.0,4.0,4,2,0.0,2.0,unacc
487,3.0,4.0,4,2,0.0,3.0,unacc
488,3.0,4.0,4,2,1.0,1.0,unacc
489,3.0,4.0,4,2,1.0,2.0,unacc
490,3.0,4.0,4,2,1.0,3.0,unacc
491,3.0,4.0,4,2,2.0,1.0,unacc
492,3.0,4.0,4,2,2.0,2.0,unacc
493,3.0,4.0,4,2,2.0,3.0,unacc
494,3.0,4.0,4,4,0.0,1.0,unacc
495,3.0,4.0,4,4,0.0,2.0,unacc
496,3.0,4.0,4,4,0.0,3.0,unacc
497,3.0,4.0,4,4,1.0,1.0,unacc
498,3.0,4.0,4,4,1.0,2.0,unacc
499,3.0,4.0,4,4,1.0,3.0,unacc
500,3.0,4.0,4,4,2.0,1.0,unacc
501,3.0,4.0,4,4,,2.0,unacc
502,3.0,4.0,4,4,2.0,3.0,unacc
503,3.0,4.0,4,more,0.0,1.0,unacc
504,3.0,4.0,4,more,0.0,2.0,unacc
505,3.0,4.0,4,more,0.0,3.0,unacc
506,3.0,4.0,4,more,1.0,1.0,unacc
507,3.0,4.0,4,more,1.0,2.0,unacc
508,3.0,4.0,4,more,1.0,3.0,unacc
509,3.0,4.0,4,more,2.0,1.0,unacc
510,3.0,4.0,4,more,2.0,2.0,unacc
511,3.0,4.0,4,more,2.0,3.0,unacc
512,3.0,4.0,5more,2,0.0,1.0,unacc
513,3.0,4.0,5more,2,0.0,2.0,unacc
514,3.0,4.0,5more,2,0.0,3.0,unacc
515,3.0,4.0,5more,2,1.0,1.0,unacc
516,3.0,4.0,5more,2,1.0,2.0,unacc
517,3.0,4.0,5more,2,1.0,3.0,unacc
518,3.0,4.0,5more,2,2.0,1.0,unacc
519,3.0,4.0,5more,2,2.0,2.0,unacc
520,3.0,4.0,5more,2,2.0,3.0,unacc
521,3.0,4.0,5more,4,0.0,1.0,unacc
522,3.0,4.0,5more,4,0.0,2.0,unacc
523,3.0,4.0,5more,4,0.0,3.0,unacc
524,3.0,4.0,5more,4,1.0,1.0,unacc
525,3.0,4.0,5more,4,1.0,2.0,unacc
526,3.0,4.0,5more,4,1.0,3.0,unacc
527,3.0,4.0,5more,4,2.0,1.0,unacc
528,3.0,4.0,5more,4,2.0,2.0,unacc
529,3.0,4.0,5more,4,2.0,3.0,unacc
530,3.0,4.0,5more,more,0.0,1.0,unacc
531,3.0,4.0,5more,more,0.0,2.0,unacc
532,3.0,4.0,5more,more,0.0,3.0,unacc
533,3.0,4.0,5more,more,1.0,1.0,unacc
534,3.0,4.0,5more,more,1.0,2.0,unacc
